,SpeciesGroup,,CalendarYear,,GearStatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shark,Shark,,Shark,,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark Total
,2001,2001,,2001 Total,,2002,2002,2002 Total,2003,2003,2003 Total,2004,2004,2004 Total,2005,2005,2005 Total,2006,2006,2006 Total,2007,2007,2007 Total,2008,2008,2008 Total,2009,2009,2009 Total,2010,2010,2010 Total,2011,2011,2011 Total,2012,2012,2012 Total,2013,2013,2013 Total,2014,2014,2014 Total,2015,2015,2015 Total,2016,2016,2016 Total,2017,2017,2017 Total,2018,2019,2020,2021,2022,2023,
Area,Active,Not Active,,,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Not Active,,Active,Active,Active,Active,Active,Active,
Bribie Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,1,1,1,3,1,10
Bundaberg,17,45,,62,,60,2,62,47,3,50,37,2,39,68,1,69,49,,49,48,,48,53,,53,30,,30,41,1,42,65,,65,56,,56,76,,76,57,,57,45,,45,52,,52,54,,54,53,58,55,73,64,16,1228
Cairns,29,50,,79,,39,7,46,53,13,66,54,8,62,58,8,66,33,8,41,67,9,76,50,5,55,52,8,60,60,11,71,88,3,91,88,3,91,72,2,74,71,,71,116,,116,51,,51,47,,47,43,43,62,58,60,20,1449
Capricorn Coast,31,56,,87,,86,5,91,57,9,66,79,1,80,84,,84,66,2,68,78,3,81,68,1,69,54,6,60,63,2,65,59,7,66,105,,105,116,,116,66,,66,71,,71,54,,54,41,,41,43,38,50,144,178,112,1835
Gladstone,,32,,32,,,18,18,,30,30,,51,51,,40,40,42,12,54,49,,49,52,,52,63,,63,57,,57,76,,76,67,,67,59,,59,50,,50,46,,46,52,,52,45,,45,36,42,29,34,47,25,1054
Gold Coast,10,75,,85,,,73,73,5,70,75,9,66,75,12,66,78,23,15,38,35,,35,34,,34,37,,37,39,,39,38,,38,47,2,49,33,1,34,34,2,36,47,,47,46,,46,59,,59,49,60,85,84,69,27,1252
Mackay,50,84,,134,,37,57,94,43,39,82,88,20,108,57,18,75,40,19,59,57,11,68,56,17,73,54,13,67,56,18,74,42,10,52,82,18,100,71,13,84,97,13,110,69,13,82,62,4,66,52,3,55,40,44,68,93,61,25,1714
Nth Stradbroke Is.,2,18,,20,,9,7,16,4,4,8,1,,1,3,2,5,23,,23,21,,21,20,,20,26,,26,24,,24,16,,16,17,,17,16,,16,8,,8,22,,22,10,,10,13,,13,23,15,14,24,16,2,360
Rainbow Beach,35,,,35,,31,,31,24,,24,26,,26,39,,39,67,,67,49,,49,48,1,49,59,,59,50,1,51,68,,68,60,,60,76,,76,44,,44,57,,57,36,,36,34,,34,31,34,34,49,43,12,1008
Sunshine Coast North,33,43,,76,,70,21,91,52,4,56,38,1,39,53,,53,49,3,52,39,,39,50,,50,50,,50,37,,37,44,,44,29,,29,28,,28,33,,33,48,,48,39,,39,39,,39,73,56,58,63,60,42,1155
Sunshine Coast South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,18,13,9,25,24,20,116
Sunshine Coast South & Bribie Island,2,33,,35,,26,14,40,24,11,35,23,1,24,21,,21,35,1,36,14,2,16,31,,31,19,,19,22,,22,20,,20,21,,21,15,,15,10,,10,22,,22,12,,12,8,,8,,,,,,,387
Townsville,28,61,,89,,51,8,59,54,4,58,65,11,76,67,23,90,71,21,92,57,16,73,76,23,99,95,23,118,97,22,119,137,27,164,158,,158,107,,107,101,,101,139,,139,112,,112,107,,107,113,82,130,150,127,60,2423
Grand Total,237,497,,734,,409,212,621,363,187,550,420,161,581,462,158,620,498,81,579,514,41,555,538,47,585,539,50,589,546,55,601,653,47,700,730,23,753,669,16,685,571,15,586,682,13,695,526,4,530,507,3,510,524,486,595,798,752,362,13991
