,SpeciesGroup,,CalendarYear,,Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shark,Shark,,Shark,,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark Total
,2001,2001,,2001 Total,,2002,2002,2002 Total,2003,2003,2003 Total,2004,2004,2004 Total,2005,2005,2005 Total,2006,2006,2006 Total,2007,2007,2007 Total,2008,2008,2008 Total,2009,2009,2009 Total,2010,2010,2010 Total,2011,2011,2011 Total,2012,2012,2012 Total,2013,2013,2013 Total,2014,2014,2014 Total,2015,2015,2015 Total,2016,2016,2016 Total,2017,2017,2017 Total,2018,2018,2018 Total,2019,2019,2019 Total,2020,2020,2020 Total,2021,2021,2021 Total,2022,2022,2022 Total,2023,2023,2023 Total,
Area,Female,Male,,,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,
Bribie Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,2,1,,1,1,,1,1,,1,2,1,3,1,,1,10
Bundaberg,38,18,,56,,39,19,58,29,16,45,20,18,38,36,30,66,24,24,48,24,22,46,23,28,51,19,9,28,19,18,37,42,16,58,41,11,52,41,26,67,36,12,48,27,14,41,34,10,44,43,11,54,41,10,51,39,14,53,38,12,50,58,11,69,43,17,60,15,1,16,1136
Cairns,47,32,,79,,25,21,46,32,34,66,32,30,62,29,36,65,27,14,41,48,28,76,26,29,55,34,26,60,42,28,70,56,35,91,55,35,90,42,32,74,45,26,71,66,50,116,37,14,51,23,20,43,27,14,41,26,14,40,31,28,59,28,26,54,33,26,59,12,8,20,1429
Capricorn Coast,27,60,,87,,51,39,90,27,39,66,32,48,80,28,55,83,34,32,66,35,45,80,20,49,69,26,34,60,32,33,65,16,50,66,54,49,103,41,75,116,37,29,66,48,21,69,32,21,53,19,21,40,24,15,39,18,13,31,16,21,37,71,52,123,89,75,164,62,39,101,1754
Gladstone,29,3,,32,,9,9,18,19,10,29,31,13,44,20,17,37,29,22,51,21,24,45,20,30,50,32,27,59,28,25,53,33,38,71,33,31,64,29,26,55,26,20,46,15,30,45,26,24,50,20,21,41,23,9,32,20,17,37,18,8,26,21,12,33,27,15,42,12,12,24,984
Gold Coast,62,23,,85,,44,29,73,38,37,75,46,29,75,41,36,77,24,13,37,22,12,34,20,13,33,24,13,37,19,20,39,20,17,37,31,17,48,22,12,34,22,14,36,30,17,47,33,13,46,35,23,58,33,15,48,35,24,59,49,33,82,46,36,82,45,24,69,14,12,26,1237
Mackay,64,68,,132,,50,44,94,43,39,82,59,49,108,36,39,75,38,21,59,38,30,68,36,37,73,39,28,67,39,35,74,33,18,51,70,30,100,57,27,84,83,27,110,60,20,80,46,19,65,43,12,55,28,9,37,26,13,39,46,19,65,63,25,88,40,17,57,17,6,23,1686
Nth Stradbroke Is.,15,4,,19,,13,2,15,6,2,8,1,,1,3,2,5,19,3,22,16,3,19,16,2,18,16,9,25,19,3,22,11,4,15,14,2,16,13,2,15,8,,8,15,4,19,7,3,10,9,1,10,17,4,21,11,3,14,7,6,13,16,8,24,9,6,15,1,,1,335
Rainbow Beach,25,8,,33,,19,12,31,15,9,24,7,15,22,24,12,36,28,39,67,24,24,48,21,24,45,30,29,59,27,24,51,39,29,68,33,26,59,41,35,76,23,21,44,30,27,57,22,14,36,23,8,31,19,10,29,21,11,32,21,11,32,35,10,45,26,14,40,7,5,12,977
Sunshine Coast North,55,15,,70,,69,22,91,43,12,55,25,12,37,33,18,51,30,21,51,26,11,37,30,17,47,23,27,50,19,17,36,26,17,43,14,14,28,15,10,25,18,14,32,21,21,42,25,14,39,26,12,38,45,23,68,32,17,49,33,21,54,42,18,60,36,21,57,20,15,35,1095
Sunshine Coast South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,7,10,8,18,10,2,12,6,2,8,18,5,23,16,7,23,7,11,18,109
Sunshine Coast South & Bribie Island,28,5,,33,,30,10,40,23,9,32,16,8,24,9,12,21,16,19,35,12,3,15,18,10,28,10,9,19,7,11,18,12,8,20,12,7,19,6,8,14,7,3,10,11,10,21,8,3,11,7,,7,,,,,,,,,,,,,,,,,,,367
Townsville,55,34,,89,,35,24,59,31,26,57,39,36,75,47,40,87,50,38,88,31,30,61,52,42,94,73,39,112,64,47,111,93,62,155,74,77,151,60,43,103,49,49,98,64,62,126,62,40,102,55,42,97,44,49,93,36,30,66,69,46,115,75,57,132,64,43,107,30,21,51,2229
Grand Total,445,270,,715,,384,231,615,306,233,539,308,258,566,306,297,603,319,246,565,297,232,529,282,281,563,326,250,576,315,261,576,381,294,675,431,299,730,367,296,663,354,215,569,387,276,663,332,175,507,308,174,482,313,166,479,275,158,433,335,207,542,474,260,734,430,266,696,198,130,328,13348
